iter	RMSE
0	11.93065295
1	11.87208099
2	11.81426022
3	11.75720908
4	11.70040419
5	11.64702797
6	11.59167654
7	11.53702031
8	11.48197535
9	11.42880353
10	11.37915596
11	11.32802585
12	11.27724159
13	11.22916653
14	11.17839965
15	11.12885017
16	11.08227424
17	11.03806477
18	10.99137615
19	10.9438637
20	10.89772126
21	10.85330833
22	10.80817429
23	10.76722323
24	10.72464382
25	10.68130418
26	10.637528
27	10.59628851
28	10.55662763
29	10.5139576
30	10.47403094
31	10.43309148
32	10.39381268
33	10.35384116
34	10.31620585
35	10.2795992
36	10.24013922
37	10.20165388
38	10.16451558
39	10.12936047
40	10.09216422
41	10.05575983
42	10.0210363
43	9.984895186
44	9.950038528
45	9.917971579
46	9.883617496
47	9.850716909
48	9.818929562
49	9.786718885
50	9.755684416
51	9.725313254
52	9.695816548
53	9.663314791
54	9.63223974
55	9.601307611
56	9.570387415
57	9.540180647
58	9.513045017
59	9.485890203
60	9.456161892
61	9.426672868
62	9.397276565
63	9.368528321
64	9.341057124
65	9.314864265
66	9.287369324
67	9.259352228
68	9.232832604
69	9.206767889
70	9.179694178
71	9.156765014
72	9.130928869
73	9.105545588
74	9.080745129
75	9.055628348
76	9.03124562
77	9.005752604
78	8.981143497
79	8.957188392
80	8.932563657
81	8.910540395
82	8.88820286
83	8.865995327
84	8.844648354
85	8.822134792
86	8.80159785
87	8.781913044
88	8.760701238
89	8.739080068
90	8.717058103
91	8.696793436
92	8.676124391
93	8.655762711
94	8.635084936
95	8.615960611
96	8.596893591
97	8.577083879
98	8.557168306
99	8.540332667
100	8.520720496
101	8.503458081
102	8.485103608
103	8.469274359
104	8.450386523
105	8.432888992
106	8.416528331
107	8.400307736
108	8.382480332
109	8.365610468
110	8.351402406
111	8.334265021
112	8.317136283
113	8.300868827
114	8.285837173
115	8.271175547
116	8.255889097
117	8.241394327
118	8.226012465
119	8.210218536
120	8.19625593
121	8.182180847
122	8.167115528
123	8.152539123
124	8.137580002
125	8.124399867
126	8.108793082
127	8.095984437
128	8.082551321
129	8.068757153
130	8.054842258
131	8.042437325
132	8.03015245
133	8.016849676
